Title,Description,Sentiment Label,cleaned_text
"an ode to the red river showdown, which will remain unbeatable no matter the conference","regardless of whether it's a nonconference game, a big 12 showdown or an sec battle, texas vs oklahoma is must-see tv",negative,regardless whether nonconference game big showdown sec battle texas v oklahoma must see tv
mateta: i'm at crystal palace for a reason,"in an exclusive interview with sky sports, crystal palace's jean-philippe mateta discusses his no 9 role, working with odsonne edouard and a summer of speculation",negative,exclusive interview sky sport crystal palace jean philippe mateta discus role working odsonne edouard summer speculation
kudus earns west ham last-gasp point against newcastle,mohammed kudus' last-minute strike snatched a 2-2 draw for west ham against newcastle in a game of high controversy at the london stadium,negative,mohammed kudu last minute strike snatched draw west ham newcastle game high controversy london stadium
kane on target as bayern ease past mainz,bayern munich extended their unbeaten start to the season to eight games as a 3-1 victory at mainz saw the champions keep pace with the early bundesliga pacesetters,positive,bayern munich extended unbeaten start season eight game victory mainz saw champion keep pace early bundesliga pacesetter
the broncos' misery index: stories that explain their 16-game losing streak to the kansas city chiefs,the broncos are 0-16 against the chiefs since september 2015 can they finally pull off what some might deem a miracle?,positive,bronco chief since september finally pull might deem miracle
"best black friday deals at best buy in 2023: up to $2,000 off with early access","you need to be a plus/total member this weekend, and deals for all arrive monday",neutral,need plus total member weekend deal arrive monday
best buy kicks off its black friday deals with epic savings for members only this weekend,"you need to be a plus/total member this weekend, and deals for all arrive monday",neutral,need plus total member weekend deal arrive monday
dreams of losing a sports hero,"a personal perspective: according to a new study, fans seem to have more sports dreams than the players themselves what do fans dream about when their favorite players leave?",positive,personal perspective according new study fan seem sport dream player fan dream favorite player leave
"volleyball at midseason: surprises, favorites and the rematch of the season",our experts break down the season so far and what's to come -- nebraska-wisconsin anyone? -- with an eye toward the ncaa tournament,neutral,expert break season far come nebraska wisconsin anyone eye toward ncaa tournament
crystal palace vs tottenham football live stream: watch via streaming & tv today,"its crystal palace vs tottenham today, and fans are wondering how to watch the premier league game today via streaming palace line up to face off against spurs at home, looking to bounce back after their heavy defeat against newcastle meanwhile, league lea…",negative,crystal palace v tottenham today fan wondering watch premier league game today via streaming palace line face spur home looking bounce back heavy defeat newcastle meanwhile league lea
chelsea vs brentford football live stream: watch via streaming & tv today,"its chelsea vs brentford today, and fans are wondering how to watch the premier league game today via streaming home fans are hoping their visit to stamford bridge will prove fruitful, as mauricio pochettinos team is currently rallying with a small unbeate…",positive,chelsea v brentford today fan wondering watch premier league game today via streaming home fan hoping visit stamford bridge prove fruitful mauricio pochettinos team currently rallying small unbeate
2023 nfl odds: falcons' desmond ridder can't be beaten at home,ridder is becoming the poster child for home-field advantage learn more about his incredible winning streak at the mercedes-benz stadium,positive,ridder becoming poster child home field advantage learn incredible winning streak mercedes benz stadium
'this is what heavyweights do': how mike tyson helped make francis ngannou's dream fight a reality,"francis ngannou always dreamed of being a professional boxer on saturday, with his idol mike tyson by his side, he'll fight the best in the world",positive,francis ngannou always dreamed professional boxer saturday idol mike tyson side fight best world
uefa womens champions league qualifying: wolfsburgs 11-year streak ends; manchester united eliminated,the final qualification round of the 2023/24 uefa women's champions league season saw some big results and major shocks,positive,final qualification round uefa woman champion league season saw big result major shock
"what to know from nfl week 7: lamar jackson dominates lions, belichick gets dramatic 300th win","nfl nation reporters react to all the action, answering lingering questions coming out of each game here's what we learned from week 7",neutral,nfl nation reporter react action answering lingering question coming game learned week
oregon's 35-6 demolition of no 13 utah provides well-timed boost to cfp case,no 8 oregon snapped utah's 18-game home winning streak and gave the cfp selection committee plenty of reason to make the ducks the top-ranked one-loss program come tuesday night,positive,oregon snapped utah game home winning streak gave cfp selection committee plenty reason make duck top ranked one loss program come tuesday night
kevin harvick reflects on chasing victory as hall of fame career winds down,the soon-to-be retired kevin harvick is aiming to snap his 2023 winless streak with one final trip to victory lane,neutral,soon retired kevin harvick aiming snap winless streak one final trip victory lane
the 2023 mercedes-amg sl43 is an overpriced slk-class,"for decades, the mercedes-benz sl class has represented the very best of what the worlds oldest car brand could do it was meant to be peak style, peak luxury and, in some cases, peak performance whether it was the famed 300sl gullwing, the 230sl pagoda or …",positive,decade mercedes benz sl class represented best world oldest car brand could meant peak style peak luxury case peak performance whether famed sl gullwing sl pagoda
swpl round-up: rangers and glasgow city keep pressure on celtic,"a round-up from the scottish women's premier league as celtic, rangers and glasgow city all win as the top three remain unchanged, with dundee united and partick thistle also winning, and montrose claiming a monumental draw",positive,round scottish woman premier league celtic ranger glasgow city win top three remain unchanged dundee united partick thistle also winning montrose claiming monumental draw
simone biles leads us womens team to win gymnastics world championship,us team led by biles takes world title with combined score of 167729 ahead of brazil (165530) and france (164064),neutral,u team led bile take world title combined score ahead brazil france
man utd vs man city: eyes of the world will be on this game,"manchester united host arch-rivals and champions manchester city at old trafford in what is the 191st manchester derby on super sunday, a game you can see live on sky sports premier league, and united manager erik ten hag says it's a fixture the whole world w…",positive,manchester united host arch rival champion manchester city old trafford st manchester derby super sunday game see live sky sport premier league united manager erik ten hag say fixture whole world w
"england tops australia, ollie watkins' hot streak continues with winning goal",ollie watkins continued his hot goal-scoring streak to fire england to a 1-0 win over australia at wembley stadium on friday,positive,ollie watkins continued hot goal scoring streak fire england win australia wembley stadium friday
erling haaland ends barren streak in champions league with 2 goals in man city's 3-1 win over young boys,erling haaland ended his barren streak in the champions league with two goals to help manchester city beat young boys 3-1,positive,erling haaland ended barren streak champion league two goal help manchester city beat young boy
bird takes on typhoon for an insane 700-mile sky-high ride of his life,"in 2019, a bold male seabird threw caution to the wind, flying above typhoon faxai as the storm pummeled southeastern japan it was the start of an 11-hour, 1,146-km (712-mile) crazy journey, that took the bird 15,000 feet higher than normal, at three times i…",positive,bold male seabird threw caution wind flying typhoon faxai storm pummeled southeastern japan start hour km mile crazy journey took bird foot higher normal three time
"how to watch today's florida gators vs south carolina gamecocks game: starting time, livestream options, more",the florida gators hope to end their road game-loss streak in a week 7 sec matchup against the south carolina gamecocks,positive,florida gator hope end road game loss streak week sec matchup south carolina gamecock
"braga vs real madrid live stream: how to watch champions league online, tv channel, prediction, odds",real madrid look to continue their winning ways and keep their perfect ucl streak alive,positive,real madrid look continue winning way keep perfect ucl streak alive
"twins snap 18-game playoff losing streak, edge jays: here's what we learned",the twins won their first postseason game in 19 tries — and 19 years here are our takeaways from minnesota's game 1 wild-card victory over toronto,positive,twin first postseason game try year takeaway minnesota game wild card victory toronto
colorado looks to extend winning streak over stanford to four in a row,"colorado is seeking its fourth consecutive win over stanford, as the buffaloes aim to get one step closer to bowl eligibility",positive,colorado seeking fourth consecutive win stanford buffalo aim get one step closer bowl eligibility
goff: panthers win shows lions 'becoming a more mature team',detroit refused to let its foot off the gas in sunday's dominant 42-24 win against the winless panthers,positive,detroit refused let foot gas sunday dominant win winless panther
"kansas stuns no 6 oklahoma, 38-33, in landscape-tilting win","kansas snapped an 18-game losing streak to oklahoma that dated to 1997 and secured its first home win against an ap top-10 opponent since 1984 oklahoma, meanwhile, saw its cfp case take a massive hit",positive,kansa snapped game losing streak oklahoma dated secured first home win ap top opponent since oklahoma meanwhile saw cfp case take massive hit
"sam hartman, notre dame lambasted by fans for struggles in upset loss vs louisville","notre dame's season has come to a screeching halt after looking like world beaters over the first few weeks of the year against inferior competition, the…",negative,notre dame season come screeching halt looking like world beater first week year inferior competition
twins end historic losing streak: pablo lópez channels johan santana as team wins first playoff game since '04,the twins snapped the longest playoff losing streak in north american pro sports history on tuesday,negative,twin snapped longest playoff losing streak north american pro sport history tuesday
how long's it been since the bears won? a look at a historic losing streak,"most of the time in the sports world, it only feels like forever since the last time a team experienced a joyous moment, but in the case of the chicago bears, it really has been a long, long wait the bears are not just 0-4 on the 2023 season, but they also l…",positive,time sport world feel like forever since last time team experienced joyous moment case chicago bear really long long wait bear season also l
"nfl 2023 week 7 odds, pro football picks, tips, scoring and betting trends","nfl 2023 week 7 odds includes 5 division matchups & a sunday night showcase miami at philadelphia picks, tips, scoring & betting trends with information you can bet on",neutral,nfl week odds includes division matchup sunday night showcase miami philadelphia pick tip scoring betting trend information bet
"from 'scariest dude in pop warner' to nfl stardom, inside amon-ra st brown's drive to be great","st brown saw 16 receivers taken before him in the 2021 draft heading into week 8, he had more career receptions than any of them",neutral,st brown saw receiver taken draft heading week career reception
'miserable to people': former cardinals employees describe life under owner michael bidwill,many of those interviewed described a workplace they found abusive and intimidating bidwill told espn he is working to improve team culture,negative,many interviewed described workplace found abusive intimidating bidwill told espn working improve team culture
twins' losing streak: breaking down historic 18-game skid as team tries for first playoff win since 2004,the twins will try to snap the longest playoff losing streak in north american pro sports history on tuesday,negative,twin try snap longest playoff losing streak north american pro sport history tuesday
pakistan beat cambodia in first-ever football world cup qualifying win,pakistan won their first match in five years to advance to the second round of world cup qualifiers,positive,pakistan first match five year advance second round world cup qualifier
"college football top 25 odds, tv schedule and 2023 week 9 betting report","college football week 9 ap top 25 includes two matchups of ranked teams on sat, oct 28 top 25 games, odds, watch & wager ratings interest & information you can bet on",positive,college football week ap top includes two matchup ranked team sat oct top game odds watch wager rating interest information bet
"how to watch today's georgia bulldogs vs florida gators game: livestream options, starting time, more",can the georgia bulldogs keep the undefeated streak going? not if the florida gators have anything to say about it,neutral,georgia bulldog keep undefeated streak going florida gator anything say
"frasier season 3 streaming: watch & stream online via amazon prime, hulu & paramount plus","frasier season 3 is packed with more fun and drama as it takes viewers through the shenanigans in frasier cranes life the third season was released on september 19, 1995, and has 24 episodes the critically acclaimed series maintained its streak of winning …",positive,frasier season packed fun drama take viewer shenanigan frasier crane life third season released september episode critically acclaimed series maintained streak winning
packers matt lafleur says confidence in jordan love is 'not wavering one bit' despite qb's struggles,the packers are currently on a three-game losing streak,negative,packer currently three game losing streak
2023 nfl odds: can aj brown win offensive player of the year?,the star philly wideout has at least 125 receiving yards in six straight games is he a shoo-in for opoy? check out the latest odds,positive,star philly wideout least receiving yard six straight game shoo opoy check latest odds
"oklahoma-texas, maryland-ohio state, more: cfb week 6 by the numbers",texas and oklahoma meet as undefeated opponents for the first time since 2011 ohio state is 8-0 against maryland here are the numbers to know ahead of week 6,neutral,texas oklahoma meet undefeated opponent first time since ohio state maryland number know ahead week
panthers bryce young vs texans cj stroud: what to expect in their first matchup,fox sports nfl reporters ben arthur and greg auman preview sunday's matchup between no 1 overall pick bryce young and no 2 cj stroud,negative,fox sport nfl reporter ben arthur greg auman preview sunday matchup overall pick bryce young cj stroud
"nfl betting odds, picks, tips: should you back the cowboys, 49ers?",our nfl betting experts offer their best tips and picks for week 8's sunday slate of games,positive,nfl betting expert offer best tip pick week sunday slate game
usc's defense slammed by fans as utah comes back despite caleb williams' brilliance,caleb williams may be back in new york this december for the heisman trophy presentation but he and the usc trojans will once again find themselves on their…,neutral,caleb williams may back new york december heisman trophy presentation usc trojan find
"nfl week 5 winners and losers: london jaguars, bill belichick and swifties","from a london winning streak to lopsided losses in the states and a missing pop star, week 5 in the nfl has had a little bit of everything",negative,london winning streak lopsided loss state missing pop star week nfl little bit everything
"jets 0-12 all-time vs eagles: here's what breece hall, others said about ugly mark heading into week 6 clash",new york is in the midst of a historical losing streak to philly,negative,new york midst historical losing streak philly
"utah state vs san jose state live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a loaded schedule saturday,neutral,cbs sport network weekly coverage season keep rolling loaded schedule saturday
[removed],[removed],neutral,removed
2023 mlb odds: why you should bet on the houston astros to win the alcs,astros baseball in october has seemingly become inevitable fox sports mlb betting analyst will hill explains why you should bet the defending champs in the alcs,positive,astros baseball october seemingly become inevitable fox sport mlb betting analyst hill explains bet defending champ alcs
san francisco 49ers rb christian mccaffrey ties nfl record with td in 17th consecutive game,"christian mccaffrey has now scored a td in 17 straight games, tying the nfl's all-time record",positive,christian mccaffrey scored td straight game tying nfl time record
"what we learned as justin fields, dj moore torch commanders to snap losing streak",justin fields and dj moore went wild at fedex field as the bears snapped their 14-game losing streak with a 40-20 win vs the commanders,positive,justin field dj moore went wild fedex field bear snapped game losing streak win v commander
"indiana-michigan, oregon-washington, more: cfb week 7 by the numbers","week 7 of the college football season is loaded with intriguing matchups, including indiana at no 2 michigan and no 8 oregon at no 7 washington here are the numbers to know",negative,week college football season loaded intriguing matchup including indiana michigan oregon washington number know
oregon-utah highlights week 9 slate with challenges awaiting some top 25 teams,no 8 oregon takes on no 13 utah in salt lake city as both teams try to keep a leg up in the pac-12 race here's a look at week 9,negative,oregon take utah salt lake city team try keep leg pac race look week
2023 nfl betting: loza and dopp's week 6 props that pop,liz loza and daniel dopp talk about the top betting storylines of week 6 and offer their favorite prop bets,positive,liz loza daniel dopp talk top betting storyline week offer favorite prop bet
giants' daniel jones ruled out for third straight week; tyrod taylor to start,"giants qb daniel jones will miss his third straight game with a neck injury, and tyrod taylor will start sunday vs the jets",negative,giant qb daniel jones miss third straight game neck injury tyrod taylor start sunday v jet
giants qb daniel jones questionable with neck injury against the commanders,jones was injured two weeks ago in a 31-16 loss to the miami dolphins tyrod taylor will start if jones isn't ready to go,negative,jones injured two week ago loss miami dolphin tyrod taylor start jones ready go
big noon live: everything to know ahead of michigan vs indiana,"here's all there is to know about the matchup between indiana and michigan, plus live in-game analysis from all the action on saturday",neutral,know matchup indiana michigan plus live game analysis action saturday
"broncos vs chiefs week 6 odds, best bets and predictions",kansas city is a double-digit home favorite thursday against denver as it goes for its 16th straight win over its division rival,positive,kansa city double digit home favorite thursday denver go th straight win division rival
"spain win puts erling haaland, norway in danger of missing euro 2024",next summer's european championship could be without the most fearsome scorer in global soccer after erling haaland's norway lost a crucial qualifying match at home against spain,positive,next summer european championship could without fearsome scorer global soccer erling haaland norway lost crucial qualifying match home spain
"fiu at sam houston live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a wednesday conference usa matchup,neutral,cbs sport network weekly coverage season keep rolling wednesday conference usa matchup
"ohio vs western michigan live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a wednesday conference usa matchup,neutral,cbs sport network weekly coverage season keep rolling wednesday conference usa matchup
"middle tennessee vs liberty live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season once again kicks off early with a tuesday night matchup,neutral,cbs sport network weekly coverage season kick early tuesday night matchup
minnesota twins aren't the only team to have lengthy postseason losing streak,the minnesota twins lost 18 straight postseason games from 2004 to now here are some of the other teams who can relate to such a string of playoff futility,negative,minnesota twin lost straight postseason game team relate string playoff futility
[removed],[removed],neutral,removed
"jacksonville state vs fiu live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral,cbs sport network home six game week slate
"fiu vs jacksonville state live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral,cbs sport network home six game week slate
"oklahoma-kansas, oregon-utah, more: cfb week 9 by the numbers","kansas hosts no 6 oklahoma, while no 8 oregon heads to no 13 utah for a pac-12 showdown here are the numbers to know ahead of week 9!",negative,kansa host oklahoma oregon head utah pac showdown number know ahead week
ipswich town 1-3 fulham: cottagers through to carabao cup quarter-finals,fulham move into the quarter-finals of the league cup for the first time since 2004-05 with a win at championship ipswich town,positive,fulham move quarter final league cup first time since win championship ipswich town
"world series odds, futures bets, for every playoff team, ranked from worst to best",fox sports mlb betting analyst will hill ranked every playoff teams' chances of winning the world series in terms of betting value the team he picked at no 1 will surprise you,positive,fox sport mlb betting analyst hill ranked every playoff team chance winning world series term betting value team picked surprise
"49ers gm john lynch: 'complete player' chase young helps run defense, too","general manager john lynch believes that new 49ers de chase young will not only help the team rush the passer, but also stop the run",negative,general manager john lynch belief new er de chase young help team rush passer also stop run
astros' bryan abreu's two-game suspension will be served in 2024,"bryan abreu's two-game suspension for hitting the rangers' adolis garcía has been upheld, but the astros reliever does not have to serve the suspension during the playoffs",positive,bryan abreu two game suspension hitting ranger adolis garc upheld astros reliever serve suspension playoff
"uconn vs south florida live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with three games on saturday,neutral,cbs sport network weekly coverage season keep rolling three game saturday
"army vs umass live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral,cbs sport network home six game week slate
"taylor swift effect: chiefs 5-0, 4-1 ats since star began attending travis kelce games",travis kelce and the chiefs are on fire since superstar taylor swift started attending games patrick everson talked to a long-time bookmaker about kelce's props and how swift has impacted the betting markets,positive,travis kelce chief fire since superstar taylor swift started attending game patrick everson talked long time bookmaker kelce prop swift impacted betting market
"2023 college football odds: penn state, two other teams 6-0 against spread","penn state is 6-0 against the spread this season while that isn't a surprise to many, two other lesser-known squads are also undefeated against the spread read to see who those teams are",negative,penn state spread season surprise many two lesser known squad also undefeated spread read see team
australia's zampa fit despite swimming pool scrape,leg-spinner adam zampa is fit to play in australia's world cup opener against hosts india despite sustaining a facial injury in a swimming pool,positive,leg spinner adam zampa fit play australia world cup opener host india despite sustaining facial injury swimming pool
"2023 nfl bad beats: patriots give away lead, stun bills with late td","after wasting a 12-point lead in the final quarter, mac jones led the patriots on a game-winning drive, resulting in a bad beat for buffalo moneyline bettors",negative,wasting point lead final quarter mac jones led patriot game winning drive resulting bad beat buffalo moneyline bettor
