Title,Description,Sentiment Label
colorado looks to extend winning streak over stanford to four in a row,"colorado is seeking its fourth consecutive win over stanford, as the buffaloes aim to get one step closer to bowl eligibility",positive
goff: panthers win shows lions 'becoming a more mature team',detroit refused to let its foot off the gas in sunday's dominant 42-24 win against the winless panthers,positive
"kansas stuns no 6 oklahoma, 38-33, in landscape-tilting win","kansas snapped an 18-game losing streak to oklahoma that dated to 1997 and secured its first home win against an ap top-10 opponent since 1984 oklahoma, meanwhile, saw its cfp case take a massive hit",positive
"sam hartman, notre dame lambasted by fans for struggles in upset loss vs louisville","notre dame's season has come to a screeching halt after looking like world beaters over the first few weeks of the year against inferior competition, the…",negative
twins end historic losing streak: pablo lópez channels johan santana as team wins first playoff game since '04,the twins snapped the longest playoff losing streak in north american pro sports history on tuesday,negative
how long's it been since the bears won? a look at a historic losing streak,"most of the time in the sports world, it only feels like forever since the last time a team experienced a joyous moment, but in the case of the chicago bears, it really has been a long, long wait the bears are not just 0-4 on the 2023 season, but they also l…",positive
"nfl 2023 week 7 odds, pro football picks, tips, scoring and betting trends","nfl 2023 week 7 odds includes 5 division matchups & a sunday night showcase miami at philadelphia picks, tips, scoring & betting trends with information you can bet on",neutral
"from 'scariest dude in pop warner' to nfl stardom, inside amon-ra st brown's drive to be great","st brown saw 16 receivers taken before him in the 2021 draft heading into week 8, he had more career receptions than any of them",neutral
'miserable to people': former cardinals employees describe life under owner michael bidwill,many of those interviewed described a workplace they found abusive and intimidating bidwill told espn he is working to improve team culture,negative
twins' losing streak: breaking down historic 18-game skid as team tries for first playoff win since 2004,the twins will try to snap the longest playoff losing streak in north american pro sports history on tuesday,negative
pakistan beat cambodia in first-ever football world cup qualifying win,pakistan won their first match in five years to advance to the second round of world cup qualifiers,positive
"college football top 25 odds, tv schedule and 2023 week 9 betting report","college football week 9 ap top 25 includes two matchups of ranked teams on sat, oct 28 top 25 games, odds, watch & wager ratings interest & information you can bet on",positive
"how to watch today's georgia bulldogs vs florida gators game: livestream options, starting time, more",can the georgia bulldogs keep the undefeated streak going? not if the florida gators have anything to say about it,neutral
"frasier season 3 streaming: watch & stream online via amazon prime, hulu & paramount plus","frasier season 3 is packed with more fun and drama as it takes viewers through the shenanigans in frasier cranes life the third season was released on september 19, 1995, and has 24 episodes the critically acclaimed series maintained its streak of winning …",positive
packers matt lafleur says confidence in jordan love is 'not wavering one bit' despite qb's struggles,the packers are currently on a three-game losing streak,negative
2023 nfl odds: can aj brown win offensive player of the year?,the star philly wideout has at least 125 receiving yards in six straight games is he a shoo-in for opoy? check out the latest odds,positive
"oklahoma-texas, maryland-ohio state, more: cfb week 6 by the numbers",texas and oklahoma meet as undefeated opponents for the first time since 2011 ohio state is 8-0 against maryland here are the numbers to know ahead of week 6,neutral
panthers bryce young vs texans cj stroud: what to expect in their first matchup,fox sports nfl reporters ben arthur and greg auman preview sunday's matchup between no 1 overall pick bryce young and no 2 cj stroud,negative
"nfl betting odds, picks, tips: should you back the cowboys, 49ers?",our nfl betting experts offer their best tips and picks for week 8's sunday slate of games,positive
usc's defense slammed by fans as utah comes back despite caleb williams' brilliance,caleb williams may be back in new york this december for the heisman trophy presentation but he and the usc trojans will once again find themselves on their…,neutral
"nfl week 5 winners and losers: london jaguars, bill belichick and swifties","from a london winning streak to lopsided losses in the states and a missing pop star, week 5 in the nfl has had a little bit of everything",negative
"jets 0-12 all-time vs eagles: here's what breece hall, others said about ugly mark heading into week 6 clash",new york is in the midst of a historical losing streak to philly,negative
"utah state vs san jose state live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a loaded schedule saturday,neutral
[removed],[removed],neutral
2023 mlb odds: why you should bet on the houston astros to win the alcs,astros baseball in october has seemingly become inevitable fox sports mlb betting analyst will hill explains why you should bet the defending champs in the alcs,positive
san francisco 49ers rb christian mccaffrey ties nfl record with td in 17th consecutive game,"christian mccaffrey has now scored a td in 17 straight games, tying the nfl's all-time record",positive
"what we learned as justin fields, dj moore torch commanders to snap losing streak",justin fields and dj moore went wild at fedex field as the bears snapped their 14-game losing streak with a 40-20 win vs the commanders,positive
"indiana-michigan, oregon-washington, more: cfb week 7 by the numbers","week 7 of the college football season is loaded with intriguing matchups, including indiana at no 2 michigan and no 8 oregon at no 7 washington here are the numbers to know",negative
oregon-utah highlights week 9 slate with challenges awaiting some top 25 teams,no 8 oregon takes on no 13 utah in salt lake city as both teams try to keep a leg up in the pac-12 race here's a look at week 9,negative
2023 nfl betting: loza and dopp's week 6 props that pop,liz loza and daniel dopp talk about the top betting storylines of week 6 and offer their favorite prop bets,positive
giants' daniel jones ruled out for third straight week; tyrod taylor to start,"giants qb daniel jones will miss his third straight game with a neck injury, and tyrod taylor will start sunday vs the jets",negative
giants qb daniel jones questionable with neck injury against the commanders,jones was injured two weeks ago in a 31-16 loss to the miami dolphins tyrod taylor will start if jones isn't ready to go,negative
big noon live: everything to know ahead of michigan vs indiana,"here's all there is to know about the matchup between indiana and michigan, plus live in-game analysis from all the action on saturday",neutral
"broncos vs chiefs week 6 odds, best bets and predictions",kansas city is a double-digit home favorite thursday against denver as it goes for its 16th straight win over its division rival,positive
"spain win puts erling haaland, norway in danger of missing euro 2024",next summer's european championship could be without the most fearsome scorer in global soccer after erling haaland's norway lost a crucial qualifying match at home against spain,positive
"fiu at sam houston live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a wednesday conference usa matchup,neutral
"ohio vs western michigan live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with a wednesday conference usa matchup,neutral
"middle tennessee vs liberty live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season once again kicks off early with a tuesday night matchup,neutral
minnesota twins aren't the only team to have lengthy postseason losing streak,the minnesota twins lost 18 straight postseason games from 2004 to now here are some of the other teams who can relate to such a string of playoff futility,negative
[removed],[removed],neutral
"jacksonville state vs fiu live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral
"fiu vs jacksonville state live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral
"oklahoma-kansas, oregon-utah, more: cfb week 9 by the numbers","kansas hosts no 6 oklahoma, while no 8 oregon heads to no 13 utah for a pac-12 showdown here are the numbers to know ahead of week 9!",negative
ipswich town 1-3 fulham: cottagers through to carabao cup quarter-finals,fulham move into the quarter-finals of the league cup for the first time since 2004-05 with a win at championship ipswich town,positive
"world series odds, futures bets, for every playoff team, ranked from worst to best",fox sports mlb betting analyst will hill ranked every playoff teams' chances of winning the world series in terms of betting value the team he picked at no 1 will surprise you,positive
"49ers gm john lynch: 'complete player' chase young helps run defense, too","general manager john lynch believes that new 49ers de chase young will not only help the team rush the passer, but also stop the run",negative
astros' bryan abreu's two-game suspension will be served in 2024,"bryan abreu's two-game suspension for hitting the rangers' adolis garcía has been upheld, but the astros reliever does not have to serve the suspension during the playoffs",positive
"uconn vs south florida live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network's weekly coverage of the 2023 season keeps rolling with three games on saturday,neutral
"army vs umass live stream, how to watch online, cbs sports network channel finder, odds",cbs sports network is home to six games in the week 9 slate,neutral
"taylor swift effect: chiefs 5-0, 4-1 ats since star began attending travis kelce games",travis kelce and the chiefs are on fire since superstar taylor swift started attending games patrick everson talked to a long-time bookmaker about kelce's props and how swift has impacted the betting markets,positive
"2023 college football odds: penn state, two other teams 6-0 against spread","penn state is 6-0 against the spread this season while that isn't a surprise to many, two other lesser-known squads are also undefeated against the spread read to see who those teams are",negative
australia's zampa fit despite swimming pool scrape,leg-spinner adam zampa is fit to play in australia's world cup opener against hosts india despite sustaining a facial injury in a swimming pool,positive
"2023 nfl bad beats: patriots give away lead, stun bills with late td","after wasting a 12-point lead in the final quarter, mac jones led the patriots on a game-winning drive, resulting in a bad beat for buffalo moneyline bettors",negative
